what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315498212104
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315498214614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1315498214614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315498214633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499067798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499212817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499215503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499216188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499218361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499218724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499223233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499223511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499223554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499224584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499228836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499229349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499238797
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315499240390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1315499240390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499240405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499243081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499246522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499248581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499256655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499259151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499260587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499262674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499262907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499269724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499270371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499284367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499285067
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1315499288619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499294620
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315499296107
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",1315499296832
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",1315499296832
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers.ui",1315499296832
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",1315499296833
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",1315499296833
