what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554575345
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1315554575436
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1315554575443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554576161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554576349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554578102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554578308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554583120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1315554589353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554589380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554592355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1315554603508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554603536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554604920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554605612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1315554639785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1315554640971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1315554641335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1315554641763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554642569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554680819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554683071
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1315554685676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1315554685676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554685691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554686315
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554700122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554760825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554765859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554768211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554771452
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1315554771612
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1315554771691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1315554772949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315554921606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554926431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554927663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554949442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554949659
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1315554954084
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1315554955358
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.eof",1315554969790
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1315554971067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554976266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315554997960
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1315554998111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315555010557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315555012686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315555034519
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1315555035411
